Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
0500000US13117,13117,"Forsyth County, Georgia",37686,576
0500000US13119,13119,"Franklin County, Georgia",18642,1201
0500000US13121,13121,"Fulton County, Georgia",39101,507
0500000US13123,13123,"Gilmer County, Georgia",22893,1492
0500000US13125,13125,"Glascock County, Georgia",19037,1611
0500000US13127,13127,"Glynn County, Georgia",27819,1365
0500000US13129,13129,"Gordon County, Georgia",20009,1018
0500000US13131,13131,"Grady County, Georgia",17764,948
0500000US13133,13133,"Greene County, Georgia",31485,2401
0500000US13135,13135,"Gwinnett County, Georgia",26749,312
0500000US13137,13137,"Habersham County, Georgia",19171,872
0500000US13139,13139,"Hall County, Georgia",24099,589
0500000US13141,13141,"Hancock County, Georgia",13898,2155
0500000US13143,13143,"Haralson County, Georgia",21838,1258
0500000US13145,13145,"Harris County, Georgia",30703,1900
0500000US13147,13147,"Hart County, Georgia",20866,1694
0500000US13149,13149,"Heard County, Georgia",20494,1204
0500000US13151,13151,"Henry County, Georgia",25727,590
0500000US13153,13153,"Houston County, Georgia",25289,659
0500000US13155,13155,"Irwin County, Georgia",18514,2283
0500000US13157,13157,"Jackson County, Georgia",23982,916
0500000US13159,13159,"Jasper County, Georgia",20685,1519
0500000US13161,13161,"Jeff Davis County, Georgia",17981,1311
0500000US13163,13163,"Jefferson County, Georgia",16986,1737
0500000US13165,13165,"Jenkins County, Georgia",18288,3500
0500000US13167,13167,"Johnson County, Georgia",16693,1134
0500000US13169,13169,"Jones County, Georgia",26602,1634
0500000US13171,13171,"Lamar County, Georgia",19143,1031
0500000US13173,13173,"Lanier County, Georgia",17403,1536
0500000US13175,13175,"Laurens County, Georgia",19826,1093
0500000US13177,13177,"Lee County, Georgia",28175,1988
0500000US13179,13179,"Liberty County, Georgia",20065,761
0500000US13181,13181,"Lincoln County, Georgia",23582,1982
0500000US13183,13183,"Long County, Georgia",19176,1610
0500000US13185,13185,"Lowndes County, Georgia",20428,793
0500000US13187,13187,"Lumpkin County, Georgia",21814,1969
0500000US13189,13189,"McDuffie County, Georgia",19497,1074
0500000US13191,13191,"McIntosh County, Georgia",23826,2116
0500000US13193,13193,"Macon County, Georgia",14039,1225
0500000US13195,13195,"Madison County, Georgia",21883,1258
0500000US13197,13197,"Marion County, Georgia",17522,1511
0500000US13199,13199,"Meriwether County, Georgia",19626,1383
0500000US13201,13201,"Miller County, Georgia",21093,3097
0500000US13205,13205,"Mitchell County, Georgia",15027,960
0500000US13207,13207,"Monroe County, Georgia",29053,4196
0500000US13209,13209,"Montgomery County, Georgia",19131,1384
0500000US13211,13211,"Morgan County, Georgia",26298,2040
0500000US13213,13213,"Murray County, Georgia",17856,710
0500000US13215,13215,"Muscogee County, Georgia",23747,681
0500000US13217,13217,"Newton County, Georgia",22478,660
0500000US13219,13219,"Oconee County, Georgia",37054,2147
0500000US13221,13221,"Oglethorpe County, Georgia",20987,1014
