GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US12023,12023,"Columbia County, Florida",105100,5156
0500000US12027,12027,"DeSoto County, Florida",82300,3323
0500000US12029,12029,"Dixie County, Florida",69600,6350
0500000US12031,12031,"Duval County, Florida",146400,1726
0500000US12033,12033,"Escambia County, Florida",121800,2002
0500000US12035,12035,"Flagler County, Florida",174700,3391
0500000US12037,12037,"Franklin County, Florida",124500,12588
0500000US12039,12039,"Gadsden County, Florida",105100,6516
0500000US12041,12041,"Gilchrist County, Florida",94400,8582
0500000US12043,12043,"Glades County, Florida",79200,9906
0500000US12045,12045,"Gulf County, Florida",131400,21440
0500000US12047,12047,"Hamilton County, Florida",71000,6035
0500000US12049,12049,"Hardee County, Florida",78800,4214
0500000US12051,12051,"Hendry County, Florida",70600,5571
0500000US12053,12053,"Hernando County, Florida",112300,2090
0500000US12055,12055,"Highlands County, Florida",86600,2842
0500000US12057,12057,"Hillsborough County, Florida",167400,1204
0500000US12059,12059,"Holmes County, Florida",90700,11661
0500000US12061,12061,"Indian River County, Florida",160900,3590
0500000US12063,12063,"Jackson County, Florida",92200,5935
0500000US12065,12065,"Jefferson County, Florida",123300,17429
0500000US12067,12067,"Lafayette County, Florida",112400,14394
0500000US12069,12069,"Lake County, Florida",145100,2890
0500000US12071,12071,"Lee County, Florida",171100,1892
0500000US12073,12073,"Leon County, Florida",183800,2651
0500000US12075,12075,"Levy County, Florida",86700,3821
0500000US12077,12077,"Liberty County, Florida",69500,10389
0500000US12079,12079,"Madison County, Florida",81100,6153
0500000US12081,12081,"Manatee County, Florida",178700,3790
0500000US12083,12083,"Marion County, Florida",114400,2541
0500000US12085,12085,"Martin County, Florida",209700,7925
0500000US12086,12086,"Miami-Dade County, Florida",221100,2011
0500000US12087,12087,"Monroe County, Florida",400800,15035
0500000US12089,12089,"Nassau County, Florida",192600,6090
0500000US12091,12091,"Okaloosa County, Florida",191800,4268
0500000US12093,12093,"Okeechobee County, Florida",90800,7877
0500000US12095,12095,"Orange County, Florida",173700,1507
0500000US12097,12097,"Osceola County, Florida",146500,3692
0500000US12099,12099,"Palm Beach County, Florida",222700,2068
0500000US12101,12101,"Pasco County, Florida",122100,1977
0500000US12103,12103,"Pinellas County, Florida",157500,1320
0500000US12105,12105,"Polk County, Florida",110400,1646
0500000US12107,12107,"Putnam County, Florida",84100,2682
0500000US12109,12109,"St. Johns County, Florida",259900,5330
0500000US12111,12111,"St. Lucie County, Florida",137700,3576
0500000US12113,12113,"Santa Rosa County, Florida",165500,3054
0500000US12115,12115,"Sarasota County, Florida",196800,2767
0500000US12117,12117,"Seminole County, Florida",188400,3443
0500000US12119,12119,"Sumter County, Florida",227000,4564
0500000US12121,12121,"Suwannee County, Florida",88700,6544
0500000US12123,12123,"Taylor County, Florida",83200,5562
0500000US12125,12125,"Union County, Florida",89100,9067
0500000US12127,12127,"Volusia County, Florida",139000,2092
0500000US12129,12129,"Wakulla County, Florida",131500,8508
0500000US12131,12131,"Walton County, Florida",183400,12111
0500000US12133,12133,"Washington County, Florida",93700,8584
0500000US13001,13001,"Appling County, Georgia",72100,5800
0500000US13003,13003,"Atkinson County, Georgia",62900,5243
0500000US13005,13005,"Bacon County, Georgia",64100,9145
0500000US13007,13007,"Baker County, Georgia",90700,22930
0500000US13009,13009,"Baldwin County, Georgia",103700,9304
0500000US13011,13011,"Banks County, Georgia",120800,10621
0500000US13013,13013,"Barrow County, Georgia",123200,2905
0500000US13015,13015,"Bartow County, Georgia",128200,5419
0500000US13017,13017,"Ben Hill County, Georgia",81100,4546
0500000US13019,13019,"Berrien County, Georgia",82300,5154
0500000US13021,13021,"Bibb County, Georgia",117000,3701
0500000US13023,13023,"Bleckley County, Georgia",99800,12605
0500000US13025,13025,"Brantley County, Georgia",65600,6151
0500000US13027,13027,"Brooks County, Georgia",91400,8408
0500000US13029,13029,"Bryan County, Georgia",202000,8110
0500000US13031,13031,"Bulloch County, Georgia",131600,5886
0500000US13033,13033,"Burke County, Georgia",79800,4955
0500000US13035,13035,"Butts County, Georgia",117000,8792
0500000US13037,13037,"Calhoun County, Georgia",55600,5995
0500000US13039,13039,"Camden County, Georgia",151700,5851
0500000US13043,13043,"Candler County, Georgia",89900,12320
0500000US13045,13045,"Carroll County, Georgia",113700,3694
0500000US13047,13047,"Catoosa County, Georgia",135300,4045
0500000US13049,13049,"Charlton County, Georgia",80400,7755
0500000US13051,13051,"Chatham County, Georgia",174500,2676
0500000US13053,13053,"Chattahoochee County, Georgia",66400,18922
0500000US13055,13055,"Chattooga County, Georgia",67300,6636
0500000US13057,13057,"Cherokee County, Georgia",204400,4976
0500000US13059,13059,"Clarke County, Georgia",152300,4181
0500000US13061,13061,"Clay County, Georgia",71400,17429
0500000US13063,13063,"Clayton County, Georgia",86700,1455
0500000US13065,13065,"Clinch County, Georgia",65400,9244
0500000US13067,13067,"Cobb County, Georgia",205600,2710
0500000US13069,13069,"Coffee County, Georgia",84400,5248
0500000US13071,13071,"Colquitt County, Georgia",82600,3701
0500000US13073,13073,"Columbia County, Georgia",176400,5005
0500000US13075,13075,"Cook County, Georgia",80000,7929
0500000US13077,13077,"Coweta County, Georgia",182300,3463
0500000US13079,13079,"Crawford County, Georgia",89900,10211
0500000US13081,13081,"Crisp County, Georgia",91000,11086
0500000US13083,13083,"Dade County, Georgia",119200,10313
0500000US13085,13085,"Dawson County, Georgia",196400,13917
